KAB_KOTA,PROVINSI,layer,path,2020,2021,2022,2023,2024,2025
,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,204.59526254688336,204.4265717092338,199.30902494331065,0.0,206.01486872655832,204.06851669941062
ACEH BARAT,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,183.62378001022387,184.74014070093756,184.02621563914988,0.0,183.38262730088627,182.64042847901317
ACEH BARAT DAYA,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,195.21355833575794,196.70600125568504,196.38055034665885,0.0,194.30699640692262,196.17026365881176
ACEH BESAR,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,163.6757753723382,166.33921570145435,165.32187574815032,0.0,161.67075187051708,167.29089593901858
ACEH JAYA,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,196.52803919076678,197.54845845622697,197.11215508737914,0.0,196.86996090300954,196.03135647873327
ACEH SELATAN,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,195.13500250670407,200.40259064050642,199.8923395854451,0.0,199.52072588688384,200.55117834431175
ACEH SINGKIL,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,170.00900676711646,173.48768994886532,172.8406596777649,0.0,172.92288622804415,172.7452656613373
ACEH TAMIANG,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,162.7449944798169,161.7869718628503,159.14170019230568,0.0,161.48249515692933,161.3011648299085
ACEH TENGAH,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,192.05234926014637,193.9391280803567,193.82424281895163,0.0,195.38163705449531,196.7495240376377
ACEH TENGGARA,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,203.36497395956854,203.63915094136223,203.62073858407302,0.0,204.23143626807854,203.31827221010656
ACEH TIMUR,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,175.64014788541846,177.33187473562916,175.22840126857298,0.0,176.18911608528015,176.46341167854754
ACEH UTARA,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,152.7869710060062,153.7846320068928,150.42523001563646,0.0,147.9807248821584,150.45944042977064
BENER MERIAH,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,191.48402342394235,193.25871936315232,193.803431899289,0.0,192.3635149903777,196.27092610233575
BIREUEN,ACEH,Batas Kabupaten Aceh,Y:/01 DKI JAKARTA 2025/Jakartanya aul/IHN_MUK/Batas Kabupaten Aceh.shp,163.95587316668858,166.77597970343567,163.15022680892008,0.0,162.76974475572425,166.53571168075467
